"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"simple-first-experiment"
"10/19/2022 13:04:41:128 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","n-basic-agent","green-food-percentage","n-expert-agent","trap-percentage","[step]","count basic-agent","count expert-agent"
"5","0","0","5","0","5","0.4","52","4","2"
"6","0","0","5","0","5","0.4","24","3","4"
"1","0","0","5","0","5","0.4","14","4","4"
"5","0","0","5","0","5","0.4","53","4","2"
"6","0","0","5","0","5","0.4","25","3","4"
"5","0","0","5","0","5","0.4","54","4","2"
"1","0","0","5","0","5","0.4","15","4","4"
"6","0","0","5","0","5","0.4","26","3","4"
"5","0","0","5","0","5","0.4","55","4","2"
"6","0","0","5","0","5","0.4","27","3","4"
"5","0","0","5","0","5","0.4","56","4","2"
"1","0","0","5","0","5","0.4","16","4","4"
"6","0","0","5","0","5","0.4","28","3","4"
"5","0","0","5","0","5","0.4","57","4","2"
"6","0","0","5","0","5","0.4","29","3","4"
"5","0","0","5","0","5","0.4","58","4","2"
"1","0","0","5","0","5","0.4","17","4","4"
"5","0","0","5","0","5","0.4","59","4","2"
"6","0","0","5","0","5","0.4","30","3","4"
"1","0","0","5","0","5","0.4","18","4","4"
"6","0","0","5","0","5","0.4","31","3","4"
"5","0","0","5","0","5","0.4","60","4","2"
"6","0","0","5","0","5","0.4","32","3","4"
"5","0","0","5","0","5","0.4","61","4","2"
"5","0","0","5","0","5","0.4","62","4","2"
"6","0","0","5","0","5","0.4","33","3","4"
"5","0","0","5","0","5","0.4","63","4","2"
"6","0","0","5","0","5","0.4","34","3","4"
"5","0","0","5","0","5","0.4","64","4","2"
"5","0","0","5","0","5","0.4","65","4","2"
"6","0","0","5","0","5","0.4","35","3","4"
"5","0","0","5","0","5","0.4","66","4","2"
"6","0","0","5","0","5","0.4","36","3","4"
"5","0","0","5","0","5","0.4","67","4","2"
"5","0","0","5","0","5","0.4","68","4","2"
"6","0","0","5","0","5","0.4","37","3","4"
"5","0","0","5","0","5","0.4","69","4","2"
"2","0","0","5","0","5","0.4","89","1","2"
"6","0","0","5","0","5","0.4","38","3","4"
"5","0","0","5","0","5","0.4","70","4","2"
"2","0","0","5","0","5","0.4","90","1","2"
"5","0","0","5","0","5","0.4","71","4","2"
"6","0","0","5","0","5","0.4","39","3","4"
"2","0","0","5","0","5","0.4","91","1","2"
"5","0","0","5","0","5","0.4","72","4","2"
"6","0","0","5","0","5","0.4","40","3","4"
"2","0","0","5","0","5","0.4","92","1","2"
"5","0","0","5","0","5","0.4","73","4","2"
"6","0","0","5","0","5","0.4","41","3","4"
"2","0","0","5","0","5","0.4","93","1","2"
"5","0","0","5","0","5","0.4","74","4","2"
"5","0","0","5","0","5","0.4","75","4","2"
"2","0","0","5","0","5","0.4","94","1","2"
"6","0","0","5","0","5","0.4","42","3","3"
"5","0","0","5","0","5","0.4","76","4","2"
"6","0","0","5","0","5","0.4","43","3","3"
"5","0","0","5","0","5","0.4","77","4","2"
"2","0","0","5","0","5","0.4","95","1","2"
"1","0","0","5","0","5","0.4","19","4","3"
"5","0","0","5","0","5","0.4","78","4","2"
"2","0","0","5","0","5","0.4","96","1","2"
"6","0","0","5","0","5","0.4","44","3","3"
"1","0","0","5","0","5","0.4","20","4","3"
"2","0","0","5","0","5","0.4","97","1","2"
"6","0","0","5","0","5","0.4","45","3","3"
"5","0","0","5","0","5","0.4","79","4","1"
"2","0","0","5","0","5","0.4","98","1","2"
"1","0","0","5","0","5","0.4","21","4","3"
